year,puma,statefip,obs,households,wealth_mean,wealth_median,wealth_top1,wealth_top.1,wealth_top.01,wealth_top.001,wealth_top10,wealth_bottom50,wealth_gini,wealth_sd,p90,p10,income_mean,house_value_mean,own,rent,cntygp97,cntygp98,own_outright,own_mortgage,college,white,black,hispanic,female,household_size,age,mean_sd,top1_sd,top.1_sd,top.01_sd,top.001_sd,top10_sd,bottom50_sd,top5_sd,top.5_sd,gini_sd
1960,40,5,1775,35500,76000.759,35990.551,0.175,0.066,0.03,0.016,0.52,0.254,0.681,160082.555,174198.353,0,36793.922,43060.779,0.66,0.34,NA,NA,NA,NA,0.15,0.694,0.305,0,0.184,3.394,49.991,1864.138,0.021,0.014,0.002,0.009,0.011,0.364,0.015,0.02,0.024
1960,41,5,1308,26160,63634.363,35246.621,0.128,0.032,0.019,0.013,0.463,0.578,0.636,97668.64,152823.413,0,28560.991,32576.068,0.661,0.339,NA,NA,NA,NA,0.104,0.728,0.271,0,0.192,3.333,51.807,1811.064,0.022,0.024,0.005,0.003,0.014,0.44,0.019,0.026,0.02
1960,42,6,1104,22080,103249.538,45272.904,0.17,0.063,0.029,0.015,0.509,0.243,0.688,182539.869,242275.635,-2705.472,54617.505,53953.648,0.594,0.406,NA,NA,NA,NA,0.167,0.965,0.014,0,0.115,3.173,47.906,3832.732,0.025,0.021,0.003,0.008,0.018,0.38,0.022,0.024,0.025
1960,43,6,1506,30120,101040.605,46804.137,0.147,0.038,0.02,0.012,0.485,0.583,0.674,157446.622,255583.443,-2996.915,56394.697,61499.154,0.576,0.424,NA,NA,NA,NA,0.179,0.977,0.002,0,0.114,3.343,45.413,4933.547,0.037,0.035,0.01,0,0.024,0.471,0.032,0.042,0.03
1960,44,6,859,17180,122121.983,58545.464,0.16,0.047,0.019,0.008,0.498,0.412,0.681,195163.869,285413.825,-2520.263,55170.031,78249.511,0.645,0.355,NA,NA,NA,NA,0.213,0.987,0.005,0,0.112,3.278,46.102,6325.205,0.043,0.043,0.017,0.007,0.026,0.463,0.033,0.037,0.034
1960,45,6,969,19380,116427.054,58931.153,0.119,0.034,0.019,0.013,0.449,0.58,0.644,160928.33,297307.691,-2126.555,50833.087,65558.768,0.639,0.361,NA,NA,NA,NA,0.165,0.972,0.001,0.004,0.126,3.109,49.66,6948.646,0.044,0.028,0.007,0.003,0.031,0.458,0.039,0.044,0.032
1960,46,6,1302,26040,120207.229,67430.559,0.146,0.05,0.019,0.008,0.476,0.254,0.649,180910.919,271776.349,0,47272.825,76940.469,0.674,0.326,NA,NA,NA,NA,0.212,0.983,0.009,0.003,0.166,2.992,51.489,6284.342,0.037,0.024,0.013,0.005,0.026,0.363,0.033,0.034,0.033
1960,47,6,971,19420,130118.881,47829.635,0.194,0.083,0.033,0.014,0.567,0.051,0.75,365258.008,296657.611,-1772.213,53248.604,72411.796,0.578,0.422,NA,NA,NA,NA,0.209,0.958,0.012,0.001,0.134,3.286,46.084,6625.227,0.039,0.019,0.008,0.003,0.022,0.003,0.03,0.033,0.024
1960,48,6,914,18280,136176.894,78189.263,0.147,0.05,0.026,0.016,0.453,0.418,0.628,201035.535,304659.427,2474.644,56533.845,89112.747,0.691,0.309,NA,NA,NA,NA,0.221,0.997,0.001,0,0.149,3.088,50.188,6812.594,0.034,0.026,0.004,0.006,0.027,0.43,0.031,0.036,0.037
1960,50,6,861,17220,96633.688,44252.336,0.134,0.047,0.025,0.016,0.479,0.413,0.664,150448.884,236141.834,-1456.681,49985.572,56983.726,0.559,0.441,NA,NA,NA,NA,0.193,0.978,0.001,0.002,0.129,2.876,50.312,5468.572,0.043,0.024,0.006,0.009,0.028,0.466,0.034,0.034,0.03
1960,51,6,2391,47820,125211.641,12332.253,0.342,0.138,0.056,0.023,0.744,0.008,0.883,462670.372,247435.671,-4145.453,59801.012,45403.949,0.205,0.795,NA,NA,NA,NA,0.305,0.747,0.179,0,0.324,2.45,48.811,9864.493,0.032,0.014,0.006,0.002,0.022,0.001,0.033,0.027,0.008
1960,52,6,2104,42080,148534.112,37939.65,0.248,0.101,0.041,0.017,0.602,0.026,0.792,419842.642,329773.163,-3615.884,64858.789,72818.043,0.425,0.575,NA,NA,NA,NA,0.511,0.813,0.145,0,0.279,2.605,46.917,1780.337,0.009,0.004,0.002,0.001,0.005,0,0.006,0.008,0.011
1960,53,6,1243,24860,105152.355,41771.017,0.193,0.068,0.031,0.016,0.538,0.228,0.73,218156.618,247489.419,-2981.055,48614.501,54170.125,0.549,0.451,NA,NA,NA,NA,0.168,0.928,0.059,0.002,0.131,3.49,44.988,2530.617,0.018,0.024,0.004,0.008,0.011,0.405,0.014,0.016,0.023
1960,56,6,1366,27320,42256.038,9902.943,0.233,0.055,0.03,0.019,0.696,0.595,0.826,104967.188,90850.816,-4665.609,54142.873,11006.618,0.056,0.944,NA,NA,NA,NA,0.327,0.908,0.034,0.001,0.493,1.728,51.618,3804.671,0.06,0.052,0.015,0.004,0.025,0.528,0.037,0.067,0.024
1960,57,6,878,17560,123020.04,38043.025,0.251,0.107,0.043,0.017,0.641,0.04,0.805,424025.719,270443.72,-3278.936,55359.406,58028.056,0.538,0.462,NA,NA,NA,NA,0.169,0.911,0.049,0.013,0.113,3.555,45.877,703.022,0.012,0.004,0.001,0.001,0.002,0,0.003,0.008,0.015
1960,58,8,1004,20080,98486.922,48340.164,0.119,0.039,0.01,0.004,0.463,0.583,0.657,137813.423,253737.733,-3104.491,43230.879,52761.378,0.555,0.445,NA,NA,NA,NA,0.212,0.989,0.003,0,0.134,3.328,48.089,5814.868,0.043,0.023,0.014,0.006,0.029,0.471,0.037,0.041,0.028
